scr_selcode,sub_id3,sub_name,scr_credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_precnt,scr_acptcnt,scr_remarks,unt_ls,cls_id,sub_id,scr_dup,scr_ldl,scr_english
0769,GEID0010,班級活動,0.0,必修,否,否,否,人工智慧二學位學程,60.0,49.0,,3803,CC03120,00001,001,課堂教學,N
0770,AITA2005,大數據分析與應用,3.0,必修,否,否,否,人工智慧二學位學程,50.0,48.0, ,3803,CC03120,04396,001,課堂教學,N
0771,AITA2006,雲端計算,3.0,必修,否,否,否,人工智慧二學位學程,50.0,44.0, ,3803,CC03120,39622,001,課堂教學,N
0772,AITA2007,機器學習,3.0,必修,否,否,否,人工智慧二學位學程,50.0,47.0, ,3803,CC03120,69971,001,課堂教學,N
0773,AITA2008,世界經濟與科技產業,3.0,必修,否,否,否,人工智慧二學位學程,60.0,48.0, ,3803,CC03120,80431,001,課堂教學,N
2510,GEID0010,班級活動,0.0,必修,否,否,否,國際生不分系一年級,50.0,44.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,00001,001,課堂教學,N
2511,ATHL1004,體育(二),1.0,必修,否,否,否,國際生不分系一年級,60.0,45.0,課程內容：足球/游泳，上課地點：田徑場/游泳池,3901,GE01110,00162,001,課堂教學,N
2512,CHIN1064,中文思辨與表達(二),2.0,必修,否,否,否,國際生不分系一年級,40.0,28.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,05612,001,課堂教學,N
2513,CHIN1064,中文思辨與表達(二),2.0,必修,否,否,否,國際生不分系一年級,40.0,17.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,05612,002,課堂教學,N
2514,CHIN1064P,中文思辨與表達(二)實習,0.0,必修,否,否,否,國際生不分系一年級,40.0,28.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,05614,001,課堂教學,N
2515,CHIN1064P,中文思辨與表達(二)實習,0.0,必修,否,否,否,國際生不分系一年級,40.0,17.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,05614,002,課堂教學,N
2516,GESS1503,公民參與,1.0,必修,否,否,否,國際生不分系一年級,50.0,42.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,06856,001,課堂教學,N
2517,GESS1504,社會實踐,1.0,必修,否,否,否,國際生不分系一年級,50.0,42.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,19997,001,課堂教學,N
2518,ENGL1053,溝通表達技巧(二),3.0,必修,否,否,否,國際生不分系一年級,50.0,43.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50230,001,課堂教學,N
2519,ECON1002,經濟學(二),3.0,必修,否,否,否,國際生不分系一年級,40.0,19.0,採現場加選，請至資電109室。,3901,GE01110,57552,001,課堂教學,N
2520,ECON1002P,經濟學(二)實習,0.0,必修,否,否,否,國際生不分系一年級,40.0,19.0,採現場加選，請至資電109室。,3901,GE01110,57554,001,課堂教學,N
2521,IDIN102,進階程式邏輯與應用,1.0,必修,否,否,否,國際生不分系一年級,50.0,41.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,59398,001,課堂教學,N
2522,MATH1006P,微積分(二)實習,0.0,必修,否,否,否,國際生不分系一年級,40.0,18.0,採現場加選，請至資電109室。,3901,GE01110,60512,001,課堂教學,N
2523,MATH1006,微積分(二),3.0,必修,否,否,否,國際生不分系一年級,40.0,17.0,採現場加選，請至資電109室。,3901,GE01110,60521,001,課堂教學,N
2524,GEIG2150,科技與藝術,2.0,選修,否,否,否,國際生不分系一年級,45.0,41.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GM425,001,課堂教學,N
2525,GENS1048,環境與公害,2.0,選修,否,否,否,國際生不分系一年級,50.0,41.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GN229,001,課堂教學,N
2526,GESS1048,台灣社會與文化,2.0,選修,否,否,否,國際生不分系一年級,50.0,39.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GS032,001,課堂教學,N
0050,ENGS3004,工業AI專題實務,3.0,選修,否,否,否,工程與科學學院綜合班,60.0,22.0,修讀完成3門可取得工業人工智慧微學程證書，且可列入「智慧應用學分學程」。,4000,CA00100,00783,001,課堂教學,N
0051,ENGS1020,工程科技講座專題討論,2.0,選修,否,否,否,工程與科學學院綜合班,50.0,21.0,工科院榮譽課程，請依公告提出修課申請。限修課人數50人，以大一為優先。,4000,CA00100,00952,001,課堂教學,N
0052,ENGS4003,金融素養,2.0,選修,否,否,否,工程與科學學院綜合班,60.0,58.0,限工科院、資電學院、建設學院學生修習。可計入外系9學分。,4000,CA00100,22831,001,課堂教學,N
0053,ENGS5995,跨領域畢業專題(一),3.0,選修,否,否,否,工程與科學學院綜合班,60.0,33.0,限工科院跨領域畢業專題計畫之專題生修習,4000,CA00100,57889,001,課堂教學,N
0054,ENGS4942,實習輔導與職涯發展(二),1.0,選修,否,否,否,工程與科學學院綜合班,90.0,94.0,限工科院111-2校內外實習生修習,4000,CA00100,67169,001,課堂教學,N
0055,ENGS6003,半導體封裝測試實務,3.0,選修,否,否,否,工程與科學學院碩士綜合班,90.0,54.0,與矽品公司合作開課,4000,CA00300,11289,001,課堂教學,N
1009,GEID0010,班級活動,0.0,必修,否,否,否,機電一甲,60.0,50.0, ,4001,CE04111,00001,001,課堂教學,N
1010,ATHL1004,體育(二),1.0,必修,否,否,否,機電一甲,60.0,61.0,課程內容：桌球，上課地點：體育館5F桌球室,4001,CE04111,00162,001,課堂教學,N
1011,MCAE1018,工廠加工實務(二),1.0,必修,否,否,否,機電一甲,65.0,73.0, ,4001,CE04111,00753,001,課堂教學,N
1012,MCAE1014,工程圖學(二),2.0,必修,否,否,否,機電一甲,65.0,74.0, ,4001,CE04111,01252,001,課堂教學,N
1013,PHYS1017,普通物理,3.0,必修,否,否,否,機電一甲,65.0,53.0, ,4001,CE04111,48510,001,課堂教學,N
1014,PHYS1016,普通物理實驗,1.0,必修,否,是,否,機電一甲,65.0,54.0, ,4001,CE04111,48520,001,課堂教學,N
1015,MATH1006P,微積分(二)實習,0.0,必修,否,否,否,機電一甲,60.0,50.0, ,4001,CE04111,60512,001,課堂教學,N
1016,MATH1006,微積分(二),3.0,必修,是,是,否,機電一甲,60.0,50.0, ,4001,CE04111,60521,001,課堂教學,N
1017,ENGS1009,應用力學(二),3.0,必修,否,否,否,機電一甲,65.0,70.0, ,4001,CE04111,72752,001,課堂教學,N
3498,MILT1035,國防科技,1.0,必修,否,否,否,機電一甲,60.0,110.0, ,4001,CE04111,41661,017,課堂教學,N
3524,MCAE1024,創意研發專論,3.0,選修,否,否,否,機電一甲,60.0,33.0,,4001,CE04111,50192,001,課堂教學,N
1018,GEID0010,班級活動,0.0,必修,否,否,否,機電一乙,60.0,50.0, ,4001,CE04112,00001,001,課堂教學,N
1019,ATHL1004,體育(二),1.0,必修,否,否,否,機電一乙,60.0,60.0,"課程內容：桌球,上課地點：體育館5F桌球室",4001,CE04112,00162,001,課堂教學,N
1020,MCAE1018,工廠加工實務(二),1.0,必修,否,否,否,機電一乙,65.0,64.0, ,4001,CE04112,00753,001,課堂教學,N
1021,MCAE1014,工程圖學(二),2.0,必修,否,否,否,機電一乙,65.0,67.0, ,4001,CE04112,01252,001,課堂教學,N
1022,PHYS1017,普通物理,3.0,必修,否,否,否,機電一乙,65.0,51.0, ,4001,CE04112,48510,001,課堂教學,N
1023,PHYS1016,普通物理實驗,1.0,必修,否,是,否,機電一乙,65.0,51.0, ,4001,CE04112,48520,001,課堂教學,N
1024,MATH1006P,微積分(二)實習,0.0,必修,否,否,否,機電一乙,60.0,55.0, ,4001,CE04112,60512,001,課堂教學,N
1025,MATH1006,微積分(二),3.0,必修,是,是,否,機電一乙,60.0,55.0, ,4001,CE04112,60521,001,課堂教學,N
1026,ENGS1009,應用力學(二),3.0,必修,否,否,否,機電一乙,65.0,80.0, ,4001,CE04112,72752,001,課堂教學,N
3498,MILT1035,國防科技,1.0,必修,否,否,否,機電一乙,60.0,110.0, ,4001,CE04112,41661,017,課堂教學,N
3524,MCAE1024,創意研發專論,3.0,選修,否,否,否,機電一乙,60.0,33.0,,4001,CE04112,50192,001,課堂教學,N
1027,GEID0010,班級活動,0.0,必修,否,否,否,機電二甲,60.0,62.0, ,4001,CE04121,00001,001,課堂教學,N
1028,COE213,工程數學(二),3.0,必修,否,否,否,機電二甲,70.0,70.0, ,4001,CE04121,02280,001,課堂教學,N
1029,MCAE210,工程材料學(二),1.0,必修,否,否,否,機電二甲,70.0,72.0, ,4001,CE04121,04103,001,課堂教學,N
1030,MCAE212,工程材料學實驗,1.0,必修,否,否,否,機電二甲,70.0,69.0, ,4001,CE04121,04104,001,課堂教學,N
1031,COE202,材料力學(二),3.0,必修,否,否,否,機電二甲,75.0,70.0, ,4001,CE04121,19470,001,課堂教學,N
1032,MCAE208,計算機程式,3.0,必修,否,否,否,機電二甲,65.0,68.0, ,4001,CE04121,27200,001,課堂教學,N
1033,COE200,電工學,3.0,必修,否,否,否,機電二甲,64.0,68.0, ,4001,CE04121,54600,001,課堂教學,N
1034,MCAE224,電腦輔助立體繪圖,2.0,必修,否,否,否,機電二甲,65.0,66.0, ,4001,CE04121,57462,001,課堂教學,N
1035,MCAE202,熱力學(二),3.0,必修,否,否,否,機電二甲,70.0,67.0, ,4001,CE04121,68100,001,課堂教學,N
1036,MCAE204,機動學(二),2.0,必修,否,否,否,機電二甲,70.0,69.0, ,4001,CE04121,69503,001,課堂教學,N
1047,MCAE226,虛實整合-3D列印技術,3.0,選修,否,否,否,機電二甲,40.0,40.0,,4001,CE04121,51586,001,課堂教學,Y
1037,GEID0010,班級活動,0.0,必修,否,否,否,機電二乙,60.0,64.0, ,4001,CE04122,00001,001,課堂教學,N
